ID,Question Number,Date,Topic,Tags,Question,Correct Answer,Explanation,Option 1,Option 2,Option 3,Option 4
1854,679,2023-06-03 07:28:03+00:00,Lower Limbs,,You are performing a surgery. You are careful of this nerve because any damage to this can affect dorsiflexion and foot eversion. This is nerve,1,"The common peroneal nerve (1) innervates ankle dorsiflexors: tibialis anterior, extensor digitorum longus, extensor hallucis longus, and ankle evertors, such as peroneus longus and brevis. 2 tibial",1,2,,
1857,680,2023-06-03 07:39:46+00:00,Head and Neck,,You were asked to measure the jugular venous pressure of a patient. You started imagining the neck anatomy and determined that the best vein to monitor is,1,"Both internal (1) and external (2) jugular veins are used to estimate JVP, the IJV is preferred because the EJV has valves and is not directly in line with the superior vena cava and right atrium .",1,2,,
1860,681,2023-06-05 10:49:47+00:00,Pelvis,,You are about to do hysterectomy. You make sure to identify the ureter because it is,Under the uterine artery,"Ureters run inferiorly (under) the uterine arteries,  “water under the bridge."" After the hysterectomy is complete, perform a cystoscopy to make sure no damage was done to the ureters.",Under the uterine artery,Above the uterine artery,,
1862,682,2023-06-05 10:54:15+00:00,Thorax,,You are about to do a pericardiocentesis. You aim the needle at what degree angle to the chest wall when you direct it to the left shoulder?,30-45 degree,The pericardiocentesis needle is inserted at a 30- to 45-degree angle to the chest wall and aimed toward the left shoulder. The syringe is aspirated until fluid is obtained in the needle.,10-25 degree,30-45 degree,50-65 degree,70-90 degree
1864,683,2023-06-05 10:56:35+00:00,Thorax,,You are about to do a pericardiocentesis. You palpate for this structure since this is an important landmark for the needle insertion.,Xiphoid process,"For the blind needle pericardiocentesis technique using the subxiphoid approach, the xiphoid process is located and local lidocaine is injected to the inferior and left of the xiphoid. ",Sternal angle,Manubrium,Body of sternum,Xiphoid process
1866,684,2023-06-05 11:05:27+00:00,Thorax,,Which patient has a normal amount of pleural fluid?,15 ml pleural fluid,"In a healthy human, the pleural space contains a small amount of fluid (about 10 to 20 mL), with a low protein concentration (less than 1.5 g/dL).",15 ml pleural fluid,25 ml pleural fluid,35 ml pleural fluid,45 ml pleural fluid
1868,685,2023-06-05 11:11:14+00:00,Abdomen,,"You ae about to view the patient's liver using an ultrasound, specifically at its upper border. You place the probe here mid clavicular line",5th ICS,"5-7-9 rule""
The upper border of liver dullness is defined by: 
5th intercostal space in the midclavicular line 7th intercostal space in the midaxillary line 9th intercostal space in the scapular line",4th ICS,5th ICS,6th ICS,7th ICS
1873,686,2023-06-06 11:21:45+00:00,Abdomen,,You are about to do a parencentesis. You are now positioning the needle to insert at this site,Below umbilicus,"Insertion site at midline between umbilicus and pubic bone, 2 cm below umbilicus. Left lower quadrant, 3 to 5 cm superior & medial to ASIS. Insertion site lateral to avoid inferior epigastric artery.",Right upper quadrant,Left upper quadrant,Above umbilicus,Below umbilicus
1875,687,2023-06-06 11:27:16+00:00,Abdomen,,You are inserting a catheter to a male patient. You start inflating the catheter balloon when you reach the,Urinary bladder,Urethral injury occurs in when catheter's anchoring balloon is inadvertently inflated inside the urethra. It should be inflated after the catheter is inserted into the bladder.,Spongy urethra,Bulbous urethra,Membranous urethra,Prostatic urethra
1877,688,2023-06-06 11:29:32+00:00,Abdomen,,The shortest segment of male urethra is the,Membranous,"The membranous urethra is the shortest, middle section of male urethra. It ends right above the penis. This part of the urethra is surrounded by muscular tissue, so it helps you hold in your urine.",Prostatic,Membranous,Bulbar,Spongy
1879,689,2023-06-06 11:35:25+00:00,Lower Limbs,,"Maria had a long labor in dorsal lithotomy position. Suddenly, after giving birth, she presented with ""foot drop"". This nerve was injured.",Common peroneal nerve,Lithotomy position was the common peroneal nerve injury thought to be secondary to compression of the nerve between the lateral head of the fibula and the bar holding the legs.,Common peroneal nerve,Femoral nerve,Saphenous nerve,Tibial nerve
1882,670,2023-06-06 11:39:28+00:00,Lower Limbs,,You are performing this test to an athlete. He had a positive anterior drawer result. The damaged structure is the,Anterior cruciate ligament,The anterior drawer test is a physical examination doctors use to test the stability of the knee's anterior cruciate ligament (ACL).,Medial lemniscus,Lateral lemniscus,Anterior cruciate ligament,Posterior cruciate ligament
1886,671,2023-06-06 11:52:49+00:00,Upper Limbs,,Which is correct?,None,"1 musculocutaneous, 2 axillary, 3 median, 4 radial, 5 ulnar",1 axillary,2 median,3 radial,4 ulnar
1888,672,2023-06-06 11:59:22+00:00,Upper Limbs,,Which is the correct sequence?,Axillary artery - 1st rib - axillary artery - teres major - brachial artery,"Axillary artery is the continuation of sub-clavian artery, from the outer border of the first rib and it continues as the brachial artery at the inferior border of teres major.",Axillary artery - 1st rib - axillary artery - teres minor - brachial artery,Axillary artery - 1st rib - axillary artery - teres major - brachial artery,Axillary artery - 2nd rib - axillary artery - teres minor - brachial artery,Axillary artery - 2nd rib - axillary artery - teres major - brachial artery
1890,673,2023-06-06 12:06:40+00:00,Lower Limbs,,"You are going to extract blood from the femoral veins. You will not harm the patient because you the arrangement of structures in the femoral triangle, which is from lateral to medial is as follows:","Nerve, Artery, Vein","Contents (NAVEL): Femoral Nerve, Femoral Artery, Femoral Vein, Femoral canal (Empty space), Lymphatics","Artery, Vein, Nerve","Artery, Nerve, Vein","Nerve, Vein, Artery","Nerve, Artery, Vein"
1898,674,2023-06-07 10:37:15+00:00,Neurosciences,,"You meet a patient who can't calculate, can't write, can't name his fingers, and can't distinguish left from right. You think the lesion is in the",Angular gyrus,Gerstmann's syndrome is a cognitive impairment that results from damage to a specific area of the brain known as the left parietal lobe in the region of the angular gyrus.,Precentral gyrus,Postcentral gyrus,Supramarginal gyrus,Angular gyrus
1900,675,2023-06-07 10:42:26+00:00,Neurosciences,,"A blockage was found in the vertebral artery. The patient still managed to survive because these arteries are still intact because of the internal carotid branches, except for",Posterior cerebral,"ICA: ACA and MCA. PCA originates at the terminal bifurcation of the basilar artery. The basilar artery, from the junction of the two vertebral arteries.",Anterior communicating,Anterior cerebral,Lenticulostriate,Middle cerebral
1903,676,2023-06-07 10:49:58+00:00,Neurosciences,,"A lesion occured at the level 3, your patient will present with",Left homonymous hemianopia,Left Homonymous Hemianopia: This results from lesions to the optic tract in route towards the lateral geniculate body of the thalamus (location 3).,Bitemporal hemianopia,Left homonymous hemianopia,Left homonymous inferior quadrantanopia,Loss of left eye vision
1905,677,2023-06-07 11:10:12+00:00,Neurosciences,,"Your 60 year old patient shows the following symptoms:  tremor, rigidity, bradykinesia, and postural instability. You think the problem is in the",Substantia nigra,Loss of the dopaminergic neurons of the substantia nigra leads to Parkinson disease.,Internal capsule,Caudate nucleus,Cerebellum,Globus pallidus
1907,678,2023-06-07 11:17:11+00:00,Upper Limbs,,Where does the nerve that innervates the hand extensors pass through?,2,"QS: axillary nerve, posterior circumflex humeral artery; TS: scapular circumflex artery, TI: profunda brachii artery, radial nerve. radial nerve innervates extrinsic extensors of wrists and hands.",1,2,3,
1911,679,2023-06-07 11:25:58+00:00,Lower Limbs,,What nerve passes through this canal?,Saphenous nerve,"Adductor canal: Its contents are the femoral artery, the femoral vein, the nerve to vastus medialis and the saphenous nerve.",Femoral nerve,Saphenous nerve,Sciatic nerve,Tibial nerve
1914,670,2023-06-07 11:42:57+00:00,Thorax,,The diaphragm is about to appear at the right side. The pointed structure must be,Inferior vena cava,"86: inferior vena cava, the other vessel (white) is the abdominal aorta",Azygous vein,Abdominal aorta,Descending aorta,Inferior vena cava
1920,671,2023-06-09 12:38:57+00:00,Head and Neck,,You are smiling right now because at least you finished the exam. The main muscle responsible for this is innervated by,CN VII,"Zygomaticus major is innervated by the zygomatic and buccal branches of facial nerve (CN VII). Known as the Smiling Muscle, the zygomaticus major is most responsible for our smile.",CN VI,CN VII,CN VIII,CN IX
1923,672,2023-06-10 11:17:03+00:00,Neurology,,"You are testing the visual field of the patient. You ask him to close his left eye, so you should also close your",Right eye,Ask patient to cover left eye with left hand and instruct the patient to fix gaze directly on your left eye throughout the test. Close your right eye and maintain fixation on the patients open eye.,Right eye,Left eye,,
1925,673,2023-06-10 11:31:22+00:00,Neurology,,You are squeezing the calf muscle of the patient. You see the extension of the hallux and fanning of the other toes. This indicates,Upper motor lesion,"Lesion in the pyramidal system, extensor hallucis longus muscle is recruited into the flexion of the leg. This leads to an upgoing toe with the Gordon, Babinski, Chaddock, & Oppenheim reflexes.",3/5 muscle strength,0/5 muscle strength,Upper motor lesion,Lower motor lesion
1928,674,2023-06-10 11:36:52+00:00,Neurology,,"You are trying to do somatosensory test on the face. You are touching this part (red circle) with a cotton, which means that you are",Not testing CN V,"The angle of the jaw is innervated by the auricular branch of the superficial cervical plexus (SCP). When testing for CN V, you should not touch the angle of the mandible!",Testing CN V1,Testing CN V2,Testing CN V3,Not testing CN V
1931,675,2023-06-10 11:42:21+00:00,Neurology,,"You are doing this to the patient (picture above), which means that you are testing",CN V,"Trigeminal motor function: palpate masseter while patient clenches teeth and opens the mouth against resistance. If a pterygoid muscle is weak, the jaw deviates to that side when the mouth is opened.",CN V,CN VII,CN IX,CN XI
1933,676,2023-06-10 11:47:34+00:00,Neurology,,You are touching your warm hands and the metal tuning fork to the arms of the patient. You are testing this tract,Spinothalamic,"The lateral spinothalamic tract carries information about pain and temperature, and the anterior spinothalamic tract carries information about crude touch.",Dorsal column,Corticospinal,Spinothalamic,
1937,677,2023-06-10 11:53:08+00:00,Neurology,,Which test is which?,"A - Brudzinski, B - Kernig",Kernig's is positive if the leg extension causes pain. Brudzinski's sign is positive when passive forward flexion of the neck causes the patient to involuntarily raise his knees or hips in flexion.,"A - Kernig, B - Brudzinski","A - Brudzinski, B - Kernig",,
1940,678,2023-06-10 11:59:16+00:00,Neurology + Upper Limbs,,"You ask the patient to do this (picture above), which means that you are testing for these muscles",Palmar interossei,"The interossei muscles consist of four (or three) palmar and four dorsal muscles that, respectively. These muscles are responsible for finger adduction and abduction.",Dorsal interossei,Palmar interossei,Abductor pollicis brevis,Adductor pollicis brevis
1943,679,2023-06-10 12:06:08+00:00,Neurology,,You are performing this test to the patient above.,Hoffmann test,"Hoffmann sign is present if flicking down on the nail on the 3rd or 4th finger elicits involuntary flexion of the distal phalanx of the thumb and index finger.
Tromner sign finger is flicked upward.",Hoffmann test,Tromner test,,
1946,680,2023-06-10 12:11:30+00:00,Neurology,,"You are trying to elicit the knee jerk reflex to the patient. After trying twice, you ask him to do this maneuver (picture above) because in your first attempt the patient is showing",Hyporeflexia,Jendrassik maneuver can be used to augment hypoactive reflexes: The patient locks the hands together and pulls vigorously apart as a tendon in the lower extremity is tapped. ,Hyporeflexia,Hyperreflexia,,
1956,681,2023-06-12 09:58:41+00:00,Endocrinology,,"Your patient has Type 1 diabetes. Without this hormone, there will be no",Inhibition of gluconeogenesis,"Insulin inhibits gluconeogenesis & glycogenolysis, stimulates glycolysis & glycogenesis, uptake & incorporation of amino acids into protein, lipogenesis. Suppress lipolysis & protein degradation.",Inhibition of amino acid uptake,Inhibition of gluconeogenesis,Inhibition of glycolysis,Inhibition of glycogenesis
1958,682,2023-06-12 10:04:36+00:00,Neurology,,"You need to identify the location of the lesion. By doing the somatosensory test, you found that your patient has poor proprioception in her toes. She makes many mistakes in identifying which is up, down, or middle. The concerned level is found at the",Fasciculus gracilis,"Fibers in the gracile fasciculus originate from sacral, lumbar, and lower thoracic (below T6) levels; those in the cuneate fasciculus originate from upper thoracic (above T6) and cervical levels.",Fasciculus cuneatus,Fasciculus gracilis,,
1960,683,2023-06-12 10:12:55+00:00,Upper Limbs,,"This is usually a result of a difficult delivery, wherein the child's neck is stretched to the side. You noticed that the child's arm is completely paralysed and cannot anymore feel sensations. This is a case of",Erb's palsy,"Erb’s palsy: damage C5, C6. Partial or full paralysis of the arm and often loss of sensation. Klumpke’s palsy causes paralysis of the forearm and hand muscles as a result of damage to C8, T1.",Erb's palsy,Klumpke's palsy,,
1962,684,2023-06-12 10:26:21+00:00,Head and Neck + Neurology,,"You have two patients and you need to know where is the lesion by doing a cranial nerve test. 

Juana: can wrinkle forehead but can smile Juan: cannot wrinkle forehead and cannot smile","Juana - cortex is injured, Juan - facial nerve is injured","When the cortex is injured, there’s weakness in the contralateral lower face only. When the facial nerve is injured, there’s weakness in the ipsilateral upper and lower face.","Juana - facial nerve is injured, Juan - cortex is injured","Juana - cortex is injured, Juan - facial nerve is injured",Both with cerebral cortex injury.,Both with facial nerve injury.
1964,685,2023-06-12 10:38:21+00:00,Cardiology,,"Your checking if the sinoatrial node is working properly, so you should focus your attention to the",P wave,"The P wave in an ECG complex indicates atrial depolarization. Normally, this originates at SA node. The QRS is responsible for ventricular depolarization and the T wave is ventricular repolarization.",P wave,QRS segment,T  wave,U wave
1966,686,2023-06-12 10:45:11+00:00,Nephrology,,You give spironolactone to a patient. You expect this side effect,High potassium levels,"Spironolactone is a potassium-sparing diuretic. This medicine is also used to treat or prevent hypokalemia, most common side effects of spironolactone are high potassium levels.",High aldosteron levels,High calcium levels,High magnesium levels,High potassium levels
1968,687,2023-06-12 10:56:38+00:00,Obstetrics,,You are perfoming pelvimetry. The diagonal conjugate is 10 cm. You interpret this as,Contracted pelvic inlet,The obstetric conjugate estimated by subtracting 1.5 to 2.0 cm from the diagonal conjugate. The inlet is considered to be contracted if OC is less than 10 cm. 10 - 1.5 = 8.5 cm,Adequate pelvic inlet,Adequate pelvic outlet,Adequate midplane,Contracted pelvic inlet
1970,688,2023-06-12 11:05:34+00:00,Pediatrics,,"Angel is 7 years old. You did history taking and physical examination and found that she is growing normally and achieving the expected milestones. You are required to perform all these, except",Take head circumference,"Head circumference is routinely measured during the first 2 years of life. During this time, the brain is growing rapidly and the open sutures between the bones of the skull are closing.",Measure height,Measure weight,Take blood pressure,Take head circumference
1975,689,2023-06-13 12:27:35+00:00,Neurology,,"You are about to test the cerebellum function of patient, you perform all these except",Romberg test,"Romberg test can be confused as a sign of cerebellar disease, but demonstrates effects of posterior column disease.",Finger to nose test,Heel to shin test,Rebound/overshooting test,Romberg test
1977,690,2023-06-13 12:32:24+00:00,Neurology and Head and Neck,,You are testing the motor function of CN V. You ask the patient to open his jaw and resist your push towards closing the mouth. You are testing the,Lateral pterygoid,"The masseter muscle has the primary role of closing the jaw in conjunction with temporalis and medial pterygoid muscles. Lateral pterygoid, causes jaw protrusion and jaw opening when activated.",Lateral pterygoid,Medial pterygoid,Masseter,Temporalis
1979,691,2023-06-14 10:12:47+00:00,Neurology,,You are doing corneal reflex. You know that the,"CN V - afferent, CN VII - efferent","The corneal reflex is a contraction of the orbicularis oculi in response to light touch of the cornea. The afferent limb being the ophthalmic division of CN V, the efferent limb running in CN VII.","CN V - efferent, CN VII - afferent","CN V - afferent, CN VII - efferent",,
1981,692,2023-06-14 10:19:22+00:00,Neurology,,You are testing the motor and sensory function of the patient. You know that the tracts will terminate / start from these structures,"Corticospinal tract - from precentral gyrus, Spinothalamic tract - to postcentral gyrus","precentral gyrus provides the bulk of the corticospinal tract. From the periphery, the spinothalamic tracts convey information to the postcentral gyrus.","Corticospinal tract - to postcentral gyrus, Spinothalamic tract - from precentral gyrus","Corticospinal tract - from postcentral gyrus, Spinothalamic tract - to precentral gyrus","Corticospinal tract - to precentral gyrus, Spinothalamic tract - from postcentral gyrus","Corticospinal tract - from precentral gyrus, Spinothalamic tract - to postcentral gyrus"
1983,693,2023-06-14 10:27:00+00:00,Neurology,,You are in a practical OSCE. You ran out of time and was only able to check for the tone of the muscles. The examiner is asking you if there is a possibility of upper or motor neuron lesion. You know that,"Upper motor - hypertonia, Lower motor - hypotonia","Upper motor neuron lesions present with hypertonia and spastic paralysis, whereas lower motor neurone lesions are usually associated with hypotonia and flaccid paralysis.","Upper motor - hypotonia, Lower motor - hypertonia","Upper motor - hypertonia, Lower motor - hypotonia",,
1985,694,2023-06-14 10:42:56+00:00,Neurology + Head and Neck,,You are testing for the facial nerve. You are putting salt to the tip of the tongue of the patient to know if her taste and this nerve is intact.,Chorda tympani nerve,The branch of CN VII that innervates the anterior 2/3 of the tongue is the chorda tympani nerve. General sensation to the anterior two-thirds of the tongue is by innervation from the lingual nerve.,Inferior alveolar nerve,Superior alveolar nerve,Chorda tympani nerve,Greater petrosal nerve
1987,695,2023-06-14 10:52:24+00:00,Neurology + Head and Neck,,The left SCM is paralyzed so you have difficulty turning to the,Right,"Acting unilaterally, the SCM causes ipsilateral-lateral flexion, contralateral rotation, and lifts the chin superiorly. When you rotate or turn your head to the right, your left SCM is contracting.",Right,Left,,
1989,696,2023-06-15 12:08:24+00:00,Neurology,,You are about to perform a complicated dance routine. You are doing the routine as a group so you also need to be familiar with other members' movements. The main part of the cerebellum that is active here is,Cerebrocerebellum,"Cerebrocerebellum: planning motor movements, execute highly skilled movements (speech). Spinocerebellum: general motor execution and muscle tone. Vestibulocerebellum: posture, vestibulo-ocular reflex.",Cerebrocerebellum,Spinocerebellum,Vestibulocerebellum,
1993,697,2023-06-15 12:12:13+00:00,Neurology,,You place the vibrating tuning fork on the elbow of the patient. You are doing this because you are testing the,Dorsal column tract,"Ventral spinothalamic is responsible for pressure and crude touch sensations. Dorsal column is the area of vibration sensation, proprioception, and two-point discrimination.",Dorsal column tract,Spinothalamic tract,Corticospinal tract,
1995,698,2023-06-15 12:16:50+00:00,Neurology,,You decide to perform Kernig test to a patient because you are suspecting,Meningitis,The primary use of performing the Kernig sign in a patient is in the diagnosis of suspected meningitis.,Cortical hemorrhage,Lower motor neuron lesion,Upper motor neuron lesion,Meningitis
1997,699,2023-06-15 12:22:42+00:00,Neurology,,You are checking the reflex of the lower extremities and found that the patient is positive for clonus. You should put at least a grade of,4,"Clonus is graded as grade 4+. If clonus is greater than 10 beats, it is considered ""sustained clonus,"" which can be denoted as a ""5"".",0,1,2,3
1999,700,2023-06-15 12:28:04+00:00,Neurology,,You are suspecting a problem in the basal ganglia because when checking the muscle tone of the patient you found that his muscles are,Rigid,"Spasticity: damage to the corticoreticulospinal (pyramidal) tracts. Rigidity: dysfunction of extrapyramidal pathways, most commonly basal ganglia, but also lesions of mesencephalon and spinal cord.",Spastic,Rigid,,
2008,701,2023-08-14 05:13:38+00:00,Pharmacokinetics,#Pharmacology,"Which drug is more potent?

Drug A - EC50 = 10 mg/L Drug B - EC50 = 50 mg/L",Drug A,"The lower the EC50, the less the concentration of a drug is required to produce 50% of maximum effect and the higher the potency.",Drug A,Drug B,,
2010,702,2023-08-14 05:19:58+00:00,Pharmacokinetics,#Pharmacology,"Which drug is safer? The following values are the therapeutic index. 

Drug A - 33,000:1 (Remifentanil) Drug B - 100:1 (Diazepam)",Drug A,"Therapeutic Index (TI) = LD50 / ED50
A higher therapeutic index is preferable to a lower one: a patient would have to take a much higher dose to reach the toxic threshold.",Drug A,Drug B,,
2014,703,2023-08-14 05:29:23+00:00,Pharmacodynamics,#Pharmacology,From this graph you know that Drug B is a,Non-competitive inhibitor,Non-competitive inhibitors decrease the Emax by reducing the number of functional receptors. This cannot be overcome by increasing the concentration of the primary drug.,Competitive inhibitor,Non-competitive inhibitor,,
2033,704,2023-08-15 12:34:42+00:00,Pharmacokinetics,#Pharmacology,"In the case of aspirin (acetylsalicylic acid) poisoning, faster excretion of this substance can be done if the urine is",More alkaline,"Aspirin poisoning, urine more alkaline w/ sodium bicarbonate increases ionisation of salicylic acid. Increased excretion w/ weakly acidic drugs in basic urine and weakly basic drugs in acidic urine.",More acidic,More alkaline,,
2035,705,2023-08-15 13:04:39+00:00,Pharmacogenetics,#Pharmacology,"Codeine is a prodrug and must be metabolised to its active metabolite, morphine, by the liver enzyme cytochrome P450. 

Which of the following patients may experience morphine toxicity even under normal dosage?",Ultra rapid metabolizer,"CYP2D6 ultra rapid metabolizers: because of the increased conversion of codeine to morphine, severe morphine toxicity may occur.",Normal metabolizer,Poor metabolizer,Intermediate metabolizer,Ultra rapid metabolizer
2067,706,2023-08-18 04:12:28+00:00,Drugs,#Pharmacology,Which is the faster route for drug absorption?,Sublingual,Sublingual medications start to work faster than traditional oral medications. And they don't have to pass through your gastrointestinal tract or liver.,Oral,Sublingual,,
2069,707,2023-08-18 04:14:15+00:00,Drugs,#Pharmacology,Which is the faster route for drug absorption?,Intramuscular,Intramuscular injections are absorbed faster than subcutaneous injections. This is because muscle tissue has a greater blood supply than the tissue just under your skin.,Intramuscular,Subcutaneous,,
2071,708,2023-08-18 04:22:42+00:00,Pharmacokinetics,#Pharmacology,Methamphetamine is a weak base. More can be excreted when the patient is given with,Acidifying drugs,"Methamphetamine is a weak base, consequently, the proportion of the excreted amount of unchanged drug can vary from as little as 2% in alkaline (pH ≥8.0) to 76% in acidic urine (pH ≤5.0).",Acidifying drugs,Alkanilizing drugs,,
2073,709,2023-08-18 07:13:12+00:00,Pharmacodynamics,#Pharmacology,Which drug has higher affinity to its target?,Drug A - low Kd,"The higher the Kd value, the weaker the binding and the lower the affinity. The opposite occurs when a drug has a low Kd.",Drug A - low Kd,Drug B - high Kd,,
2075,710,2023-08-18 08:18:36+00:00,Pharmacokinetics,#Pharmacology,Which drug is more appropriate for intracellular targets? Vd = volume of distribution,Drug B - high Vd,"High Vd = higher drug distribution in tissues than binding to plasma. If for intracellular target, a high Vd value is desirable. To target vascular/ extracellular sites, low Vd value is desirable.",Drug A - low Vd,Drug B - high Vd,,
2077,711,2023-08-19 01:24:58+00:00,Pharmacogenetics,#Pharmacology,"You prescribed an active drug. This patient may experience side effects from taking the normal dose, so you decided to lower the dosage of the drug.",Poor metabolizer,"Poor-intermediate metabolizer: Good drug efficacy,
Accumulation of active drug, patient at increased risk of drug-induced side effects, Patient requires lower dosage",Poor metabolizer,Normal metabolizer,Ultra rapid metabolizer,
2079,712,2023-08-19 02:43:46+00:00,Drugs,#Pharmacology,You are about to report a case of drug toxicity. You know that a reasonable causal relationship between the drug and the case needs to be established when reporting it as,Adverse drug reaction,"Adverse reaction Any untoward & unintended responses judged as having a causal relationship.

Adverse event (AE) Any untoward medical occurrence, does not necessarily have a causal relationship.",Adverse drug event,Adverse drug reaction,The terms can be interchanged,
2081,713,2023-08-19 03:00:55+00:00,Drug Interactions,"#Pharmacology, #Physiology","You give Mang Juan Captopril, an ACE inhibitor for his hypertension. He is also complaining about body pains. What is the possible effect of adding NSAIDS to his list of medications?",NSAIDS can increase blood pressure and blunt the effects of Captopril.,"NSAIDs may increase blood pressure and blunt effects of antihypertensives. NSAIDs inhibits COX-2 production of PGI2, resulting in an increase in peripheral resistance, responsible for BP increase.","NSAIDS can help decrease blood pressure, so can accentuate the effect of Captopril.",NSAIDS can increase blood pressure and blunt the effects of Captopril.,NSAIDS do not affect blood pressure and will have no interactions with Captopril.,
2093,714,2023-08-19 11:55:51+00:00,Drug Development,"#Pharmacology, #Research",You are reading a research paper. The methods include creating a miniature cancer replica by taking a small biopsy of a patient's cancer tumor. This is an example of,Ex vivo,ex vivo refers to experimentation or measurements done in or on tissue in an artificial environment outside the organism with the minimum alteration of natural conditions.,In silico,In vivo,Ex vivo,In vitro
2096,715,2023-08-19 12:58:14+00:00,Drugs,"#Pharmacology, #Physiology",Amlodipine is a calcium-channel blocker. You know from physiology class that the following are part of its therapeutic effects except,Vasoconstriction,"Like other calcium channel blockers, it relaxes and widens blood vessels (vasodilation). It does this by blocking calcium going into muscles in the heart and blood vessels.",Decreased cardiac contractility,Smooth muscle relaxation,Vasoconstriction,All are expected effects.
2099,716,2023-08-21 09:06:55+00:00,Abdomen,"#Pediatrics, #Anatomy",Which type of inguinal hernia is more common among pediatric patients?,Indirect,"Inferior epigastric vessels: indirect hernias will be lateral to the vessels whilst direct hernias will be medial to the vessels. In pediatric cases, they are nearly always indirect inguinal hernias.",Direct,Indirect,,
2101,717,2023-08-21 09:23:14+00:00,Infants,#Pediatrics,Baby Juan's weighs 16kg (>95th percentile). He is,Large for gestational age,"Small for gestational age: < 10th percentile
Appropriate for gestational age: 10th to 90th percentile
Large for gestational age: > 90th percentile",Small for gestational age,Appropriate for gestational age,Large for gestational age,
2104,718,2023-08-21 09:30:52+00:00,Physical Examination,"#Pediatrics, #ClinicalSkills",From this image you see that the baby is,Dehydrated,A decrease in skin turgor is a late sign of dehydration. Skin with normal turgor snaps rapidly back to its normal position.,Well perfused,Well hydrated,Dehydrated,Hypoxic
2106,719,2023-08-22 09:42:29+00:00,Patient Care and Pain Management,#Pediatrics,"EMLA Cream works by numbing the surface of the skin for a short time. Before performing IV insertion on a 5 year old kid, you put EMLA on her skin. You should come back and do the procedure after",30 - 60 minutes,The usual dose depends on the child’s age and is used for 30 to 60 minutes (30 minutes if the patient has atopic dermatitis).,30 - 60 minutes,60 - 80 minutes,80 - 100 minutes,100 - 120 minutes
2111,720,2023-08-23 09:24:43+00:00,Bioethics,#ClinicalSkills,"This principle is the basis for the practice of ""informed consent"" in the physician/patient transaction regarding health care.",Respect for autonomy,"Respect for Autonomy
Any notion of moral decision-making assumes that rational agents are involved in making informed and voluntary decisions.",Nonmaleficence,Beneficence,Respect for autonomy,Justice
2115,721,2023-08-24 09:27:02+00:00,Newborn,"#Pediatrics, #ClinicalSkills","If there is no sugar water, a good and cost-effective way for reducing pain from  injections among newborns (1-12 months) is",Breastfeeding,Breastfeeding before and during vaccination injections helped to reduce pain in most babies up to the age of one year.,Breastfeeding,Putting EMLA cream,Drinking pure water,Sugar water has no alternative.
2119,722,2023-08-25 07:39:10+00:00,Medical Law,#Pediatrics,Assent from minors is needed when doing research among the pediatric population. What is the youngest age group that can give a formal assent?,7 years old,"Assent from minors required for health researches involving pediatric population.  If under 7 years old, no formal assent, whether verbal/written, is needed if there is no manifestation of dissent.",5 years old,7 years old,9 years old,10 years old
2121,723,2023-08-25 07:42:48+00:00,Medical Law,#Pediatrics,"In the Philippines, it is considered statutory rape if an adult has sexual intercourse with a person under ____",16 years old,"Republic Act No. 116481, which amends the Anti-Rape Act of 1997, states that it will be considered statutory rape if an adult has sexual intercourse with a person under 16 years old.",16 years old,17 years old,18 years old,19 years old
2124,724,2023-08-25 07:46:41+00:00,Medical Law,#Pediatrics,"In the Philippines, you are allowed to buy cigarettes when you are at least",21 years old,The law prohibits the sale of tobacco products to anyone under the age of 21.,15 years old,18 years old,21 years old,24 years old
2127,725,2023-08-26 12:51:14+00:00,Drugs,#Pharmacology,Odd one out,Aspirin,"Paracetamol other names: N-acetyl-para-aminophenol, acetaminophen.",Acetaminophen,Aspirin,Paracetamol,N-acetyl-para-aminophenol
2129,726,2023-08-28 12:26:22+00:00,Pharmacodynamics,#Pharmacology,Drug A is the agonist while Drug B is the competitive antagonist. Which of the following will happen to the concentration response-curve of Drug A?,EC50 will increase.,Competitive antagonist produces a rightward shift in the curve of the drug it competes(it increases the drug's EC50) without reducing the maximal response produced by the drug at high concentrations.,Emax will increase.,EC50 will increase.,EC50 will decrease.,Emax will decrease.
2131,727,2023-08-29 13:22:32+00:00,Neuroscience,#Anatomy,Which of the cranial nerves below is not purely sensory?,CN IX,"Cranial nerves I, II, and VIII considered purely afferent nerves since they conduct sensory information from the olfactory region, the retina of the eye, and the inner ear structures, respectively.",CN I,CN II,CN VIII,CN IX
2134,728,2023-08-31 10:55:53+00:00,Pulmonology,#Physiology,"If all these factors below will increase, which will cause a different shift in the oxygen-hemoglobin curve?",Alkalosis,"CADET Right: Increase in PCO2, acid, 2,3-diphosphoglycerate, exercise, and temperature.

Left shift: alkalosis As pH rises, hemoglobin enhances its ability to bind oxygen.","2,3 diphosphoglycerate",Alkalosis,Exercise,PCO2
2136,729,2023-08-31 11:04:24+00:00,Medicine Practice,#MedicalJurisprudence,You need to be at least _ years old to practice medicine in the Philippines.,21,No person shall engage in the practice of medicine in the Philippines unless he is at least twenty-one years of age.,20,21,22,23
